del;del_nom;gou;gou_nom;reg;reg_nom;zon;zon_nom;cap_gou;POPTO2004;POPCO2004;NBLOG2004;IMMIG9404;EMIG9404;POPTO2010;SUP2010;IDRVA2011
TS1146;Tebourba;TS114;Manubah;TS11;Nord-est;TS1;Nord;0;41050;24175;8334;1628;2294;42606;279,8;0,319
TS1147;El Battane;TS114;Manubah;TS11;Nord-est;TS1;Nord;0;17321;5761;3392;716;444;17740;151,4;0,279
TS1150;Nabeul;TS115;Nabeul;TS11;Nord-est;TS1;Nord;1;59490;56387;18733;4838;7360;61366;71,6;0,523
TS1151;Dar Chaabane El Fehri;TS115;Nabeul;TS11;Nord-est;TS1;Nord;0;39477;35859;10817;3406;1099;44322;71,9;0,456
TS1152;Beni khiar;TS115;Nabeul;TS11;Nord-est;TS1;Nord;0;35565;29898;10912;2055;937;38035;106;0,424
TS1153;Korba;TS115;Nabeul;TS11;Nord-est;TS1;Nord;0;60564;42420;15630;2060;1600;64080;206,1;0,392
TS1154;Menzel Temime;TS115;Nabeul;TS11;Nord-est;TS1;Nord;0;59463;39326;15319;1387;2285;62003;260,8;0,357
TS1155;El Mida;TS115;Nabeul;TS11;Nord-est;TS1;Nord;0;23667;3437;5894;650;722;23879;154,4;0,339
TS1156;Kelibia;TS115;Nabeul;TS11;Nord-est;TS1;Nord;0;53648;48210;15238;2815;2242;58418;128;0,38
TS1157;Hammam El Guezaz;TS115;Nabeul;TS11;Nord-est;TS1;Nord;0;14324;11998;3780;632;566;14477;77,8;0,293
TS1158;El Haouaria;TS115;Nabeul;TS11;Nord-est;TS1;Nord;0;39378;9273;10106;955;1460;39833;332,4;0,304
TS1159;Takelsa;TS115;Nabeul;TS11;Nord-est;TS1;Nord;0;20169;20169;4123;552;692;20705;270;0,298
TS115A;Soliman;TS115;Nabeul;TS11;Nord-est;TS1;Nord;0;41846;32611;10783;3729;1432;45091;140,1;0,478
TS115B;Menzel Bouzelfa;TS115;Nabeul;TS11;Nord-est;TS1;Nord;0;33599;15670;8442;876;1278;34923;141,7;0,372
TS115C;Beni Khalled;TS115;Nabeul;TS11;Nord-est;TS1;Nord;0;33897;19943;8077;1944;940;35994;118,1;0,399
TS115D;Grombalia;TS115;Nabeul;TS11;Nord-est;TS1;Nord;0;55489;18856;12521;3310;2064;60826;298,1;0,458
TS115E;Bou Argoub;TS115;Nabeul;TS11;Nord-est;TS1;Nord;0;27846;10311;5955;1028;743;29116;131,2;0,35
TS115F;Hammamet;TS115;Nabeul;TS11;Nord-est;TS1;Nord;0;95468;63116;30254;5265;3027;114351;320,9;0,527
TS1160;Zaghouan;TS116;Zaghouan;TS11;Nord-est;TS1;Nord;1;34367;16037;8328;2189;3201;35436;421,2;0,417
TS1161;Ez-Zeriba;TS116;Zaghouan;TS11;Nord-est;TS1;Nord;0;20765;9002;4820;940;544;21397;345;0,366
TS1162;Bir Mchergua;TS116;Zaghouan;TS11;Nord-est;TS1;Nord;0;21508;11033;4489;1638;766;23722;549,3;0,425
TS1163;El Fahs;TS116;Zaghouan;TS11;Nord-est;TS1;Nord;0;43678;19315;9284;1523;2117;43915;938,7;0,297
TS1164;En-Nadhour;TS116;Zaghouan;TS11;Nord-est;TS1;Nord;0;28550;5027;5540;610;1030;32733;350,1;0,162
TS1165;Saouaf;TS116;Zaghouan;TS11;Nord-est;TS1;Nord;0;12095;0;2498;280;307;12234;262,6;0,162
TS1170;Bizerte Nord;TS117;Bizerte;TS11;Nord-est;TS1;Nord;1;75234;71492;24081;4478;9488;77940;53,52;0,485
TS1171;Zarzouna;TS117;Bizerte;TS11;Nord-est;TS1;Nord;0;24428;24428;6876;3858;1349;28195;7,12;0,423
TS1172;Bizerte Sud;TS117;Bizerte;TS11;Nord-est;TS1;Nord;0;45227;18451;10431;2293;1058;46978;398,75;0,368
TS1173;Sedjnane;TS117;Bizerte;TS11;Nord-est;TS1;Nord;0;42156;4737;9140;754;1904;42652;609,2;0,154
TS1174;Djoumine;TS117;Bizerte;TS11;Nord-est;TS1;Nord;0;35213;0;6789;739;1605;35513;558,27;0,14
TS1175;Mateur;TS117;Bizerte;TS11;Nord-est;TS1;Nord;0;47562;31345;10922;2108;3481;48110;564,54;0,346
TS1176;Ghezala;TS117;Bizerte;TS11;Nord-est;TS1;Nord;0;27799;0;6261;522;912;27005;403,89;0,166
TS1177;Menzel Bourguiba;TS117;Bizerte;TS11;Nord-est;TS1;Nord;0;54804;47742;14142;1488;3592;54612;121,38;0,406
TS1178;Tinja;TS117;Bizerte;TS11;Nord-est;TS1;Nord;0;19444;17454;5052;1368;269;19825;39,67;0,323
TS1179;Utique;TS117;Bizerte;TS11;Nord-est;TS1;Nord;0;18266;0;3722;499;625;18513;386,93;0,325
TS117A;Ghar El Meleh;TS117;Bizerte;TS11;Nord-est;TS1;Nord;0;18525;8998;4664;544;483;19004;95,26;0,358
TS117B;Menzel Djemil;TS117;Bizerte;TS11;Nord-est;TS1;Nord;0;39691;35168;12556;3107;853;43618;83,98;0,446
TS117C;El Alia;TS117;Bizerte;TS11;Nord-est;TS1;Nord;0;24539;16819;6069;936;599;26771;81,92;0,396
TS117D;Ras Djebel;TS117;Bizerte;TS11;Nord-est;TS1;Nord;0;51240;42762;16935;1703;1002;55790;81,95;0,429
TS1210;Beja Nord;TS121;Beja;TS12;Nord-ouest;TS1;Nord;1;67471;44179;17316;3213;8280;70167;416;0,339
TS1211;Beja Sud;TS121;Beja;TS12;Nord-ouest;TS1;Nord;0;38396;20188;9163;2273;1585;38084;456,64;0,299
TS1212;Amdoun;TS121;Beja;TS12;Nord-ouest;TS1;Nord;0;22484;4960;4976;675;1093;22048;244,1;0,205
TS1213;Nefza;TS121;Beja;TS12;Nord-ouest;TS1;Nord;0;53195;6039;12584;1031;3425;51678;618,45;0,173
TS1214;Teboursouk;TS121;Beja;TS12;Nord-ouest;TS1;Nord;0;24327;10987;5811;631;1456;23841;401,75;0,291
TS1215;Tibar;TS121;Beja;TS12;Nord-ouest;TS1;Nord;0;10509;0;2690;295;559;10217;109,5;0,241
TS1216;Testour;TS121;Beja;TS12;Nord-ouest;TS1;Nord;0;32772;12732;7768;1170;1599;32372;618,56;0,245
TS1217;Goubellat;TS121;Beja;TS12;Nord-ouest;TS1;Nord;0;16383;3741;3099;420;643;16547;405,25;0,249
TS1218;Medjez El Bab;TS121;Beja;TS12;Nord-ouest;TS1;Nord;0;38964;20308;8651;1575;2244;40696;469,75;0,354
TS1220;Jendouba;TS122;Jendouba;TS12;Nord-ouest;TS1;Nord;1;68597;31167;16522;5403;7283;72860;239;0,291
TS1221;Jendouba Nord;TS122;Jendouba;TS12;Nord-ouest;TS1;Nord;0;44195;12830;10355;2758;3192;45053;264;0,234
TS1222;Bou Salem;TS122;Jendouba;TS12;Nord-ouest;TS1;Nord;0;36061;14680;8841;1100;4516;33018;336,49;0,286
TS1223;Tabarka;TS122;Jendouba;TS12;Nord-ouest;TS1;Nord;0;45494;15634;922;2271;2520;46699;369;0,273
TS1224;Ain Draham;TS122;Jendouba;TS12;Nord-ouest;TS1;Nord;0;40372;8888;10689;1026;3302;38379;501;0,089
TS1225;Fernana;TS122;Jendouba;TS12;Nord-ouest;TS1;Nord;0;52690;3206;12424;769;1990;53050;408;0,091
TS1226;Ghardimaou;TS122;Jendouba;TS12;Nord-ouest;TS1;Nord;0;67955;19688;16342;933;2389;70195;516,35;0,188
TS1227;Oued Meliz;TS122;Jendouba;TS12;Nord-ouest;TS1;Nord;0;19015;2188;4687;498;594;18373;193,27;0,099
TS1228;Balta - Bou Aouane;TS122;Jendouba;TS12;Nord-ouest;TS1;Nord;0;42229;5418;9836;1339;247;45176;274,89;0,16
TS1230;Kef Ouest;TS123;Le Kef;TS12;Nord-ouest;TS1;Nord;1;29951;27472;10824;2909;2126;30622;225,4;0,331
TS1231;Kef Est;TS123;Le Kef;TS12;Nord-ouest;TS1;Nord;0;40456;17719;7840;3214;10049;40315;396,6;0,337
TS1232;Nebeur;TS123;Le Kef;TS12;Nord-ouest;TS1;Nord;0;28328;6330;6766;582;1067;27910;729,4;0,141
TS1233;Sakiet Sidi Youssef;TS123;Le Kef;TS12;Nord-ouest;TS1;Nord;0;20527;6196;5144;510;1252;20207;731,31;0,102
TS1234;Tajerouine;TS123;Le Kef;TS12;Nord-ouest;TS1;Nord;0;30659;20396;7941;1480;1984;30270;668,57;0,212
