del;del_nom;gou;gou_nom;reg;reg_nom;zon;zon_nom;cap_gou;POPTO2004;POPCO2004;NBLOG2004;IMMIG9404;EMIG9404;POPTO2010;SUP2010;IDRVA2011
TS2225;Sbiba;TS222;Kasserine;TS22;Centre-ouest;TS2;Centre;0;42091;5995;7640;823;1919;44378;450,7;0,115
TS2226;Djedeliane;TS222;Kasserine;TS22;Centre-ouest;TS2;Centre;0;13205;3990;2579;376;656;13043;304,6;0,108
TS2227;El Ayoun;TS222;Kasserine;TS22;Centre-ouest;TS2;Centre;0;18634;0;3601;305;563;19291;403,4;0,005
TS2228;Thala;TS222;Kasserine;TS22;Centre-ouest;TS2;Centre;0;34508;13968;8298;714;3047;33492;808,3;0,144
TS2229;Hidra;TS222;Kasserine;TS22;Centre-ouest;TS2;Centre;0;8716;3109;2685;519;597;8179;449,6;0,078
TS222A;Foussana;TS222;Kasserine;TS22;Centre-ouest;TS2;Centre;0;41240;5622;9259;679;1762;42533;918,4;0,112
TS222B;Feriana;TS222;Kasserine;TS22;Centre-ouest;TS2;Centre;0;45787;29990;9637;1150;1769;49349;903,7;0,177
TS222C;Majel Bel Abbes;TS222;Kasserine;TS22;Centre-ouest;TS2;Centre;0;21909;5003;4582;364;729;23569;943,4;0,044
TS2230;Sidi Bouzid Ouest;TS223;Sidi Bou Zid;TS22;Centre-ouest;TS2;Centre;1;65761;35913;14955;3486;8788;69673;420,2;0,309
TS2231;Sidi Bouzid Est;TS223;Sidi Bou Zid;TS22;Centre-ouest;TS2;Centre;0;48371;4002;10361;1079;2189;52162;778,3;0,231
TS2232;Jilma;TS223;Sidi Bou Zid;TS22;Centre-ouest;TS2;Centre;0;36861;5405;6665;680;1574;38057;603,1;0,123
TS2233;Cebalet Ouled Asker;TS223;Sidi Bou Zid;TS22;Centre-ouest;TS2;Centre;0;18618;2506;4424;318;557;19342;330,1;0,135
TS2234;Bir El Hafey;TS223;Sidi Bou Zid;TS22;Centre-ouest;TS2;Centre;0;33979;5589;8208;781;1144;36019;532,3;0,165
TS2235;Sidi Ali Ben Aožn;TS223;Sidi Bou Zid;TS22;Centre-ouest;TS2;Centre;0;24896;7403;5628;372;812;26452;685,3;0,158
TS2236;Menzel Bouza•enne;TS223;Sidi Bou Zid;TS22;Centre-ouest;TS2;Centre;0;23668;5595;6120;289;1100;24682;556;0,112
TS2237;Meknassy;TS223;Sidi Bou Zid;TS22;Centre-ouest;TS2;Centre;0;22617;13742;5578;765;1600;22442;599,6;0,163
TS2238;Souk Jedid;TS223;Sidi Bou Zid;TS22;Centre-ouest;TS2;Centre;0;19210;0;4034;213;780;18729;345,6;0,042
TS2239;Mezzouna;TS223;Sidi Bou Zid;TS22;Centre-ouest;TS2;Centre;0;22839;6101;4425;444;994;24026;1104,2;0,16
TS223A;Regueb;TS223;Sidi Bou Zid;TS22;Centre-ouest;TS2;Centre;0;58776;7892;13042;1296;2730;61270;1063,3;0,211
TS223B;Ouled Haffouz;TS223;Sidi Bou Zid;TS22;Centre-ouest;TS2;Centre;0;19910;2145;5864;504;2017;18020;351,2;0,164
TS3110;Gabes Medina;TS311;Gabes;TS31;Sud-est;TS3;Sud;1;47057;47057;12096;4586;11031;47426;48,25;0,381
TS3111;Gabes Ouest;TS311;Gabes;TS31;Sud-est;TS3;Sud;0;28389;26270;6720;10096;1369;31561;115;0,345
TS3112;Gabes Sud;TS311;Gabes;TS31;Sud-est;TS3;Sud;0;61699;57148;15309;2296;2401;70553;245;0,404
TS3113;Ghanouch;TS311;Gabes;TS31;Sud-est;TS3;Sud;0;22681;22681;3700;546;509;24609;19;0,312
TS3114;El Metouia;TS311;Gabes;TS31;Sud-est;TS3;Sud;0;25862;19004;6228;1138;1111;27032;333,35;0,309
TS3115;Menzel El Habib;TS311;Gabes;TS31;Sud-est;TS3;Sud;0;11477;0;2666;385;1275;11215;1131;0,172
TS3116;El Hamma;TS311;Gabes;TS31;Sud-est;TS3;Sud;0;62390;34835;13111;1715;2949;63814;2318,6;0,222
TS3117;Matmata;TS311;Gabes;TS31;Sud-est;TS3;Sud;0;5766;2116;2083;298;2440;5220;1185;0,171
TS3118;Nouvelle Matmata;TS311;Gabes;TS31;Sud-est;TS3;Sud;0;15969;6642;5070;1085;825;15211;713;0,151
TS3119;Mareth;TS311;Gabes;TS31;Sud-est;TS3;Sud;0;61340;16128;15042;1880;2482;63108;1058,06;0,239
TS3120;Medenine Nord;TS312;Medenine;TS31;Sud-est;TS3;Sud;1;48102;40332;12298;4691;5580;52617;324;0,322
TS3121;Medenine Sud;TS312;Medenine;TS31;Sud-est;TS3;Sud;0;48087;21373;11376;2193;2610;50358;688;0,298
TS3122;Beni Khedech;TS312;Medenine;TS31;Sud-est;TS3;Sud;0;28586;3071;8836;836;2581;26786;1356;0,139
TS3123;Ben Guerdane;TS312;Medenine;TS31;Sud-est;TS3;Sud;0;70907;58101;16008;2988;3027;73349;4732;0,273
TS3124;Zarzis;TS312;Medenine;TS31;Sud-est;TS3;Sud;0;73549;70895;21992;3736;2826;77323;867;0,365
TS3125;Djerba Houmet Souk;TS312;Medenine;TS31;Sud-est;TS3;Sud;0;64919;64919;19642;5407;4003;70301;177;0,437
TS3126;Djerba Midoun;TS312;Medenine;TS31;Sud-est;TS3;Sud;0;50459;50459;16046;5700;1831;55067;209;0,39
TS3127;Djerba Ajim;TS312;Medenine;TS31;Sud-est;TS3;Sud;0;24166;24166;7015;862;875;24775;128;0,278
TS3128;Sidi Makhloulf;TS312;Medenine;TS31;Sud-est;TS3;Sud;0;23728;0;6795;599;983;22612;686;0,152
TS3130;Tataouine Nord;TS313;Tataouine;TS31;Sud-est;TS3;Sud;1;54362;37122;11859;3444;4944;57651;2325;0,234
TS3131;Tataouine Sud;TS313;Tataouine;TS31;Sud-est;TS3;Sud;0;33783;22224;7797;1861;1953;34129;2450;0,19
TS3132;Smar;TS313;Tataouine;TS31;Sud-est;TS3;Sud;0;13826;0;2948;546;613;13930;2004;0,122
TS3133;Bir Lahmar;TS313;Tataouine;TS31;Sud-est;TS3;Sud;0;9270;8418;2687;814;513;8999;200;0,192
TS3134;Ghomrassen;TS313;Tataouine;TS31;Sud-est;TS3;Sud;0;18335;11383;6027;917;1569;16779;666;0,167
TS3135;Dhehiba;TS313;Tataouine;TS31;Sud-est;TS3;Sud;0;3971;3971;998;296;425;4069;3864;0,109
TS3136;Remada;TS313;Tataouine;TS31;Sud-est;TS3;Sud;0;9977;4606;2261;595;911;10150;27380;0,208
TS3210;Gafsa Nord;TS321;Gafsa;TS32;Sud-ouest;TS3;Sud;1;9407;0;2258;622;8061;10016;500;0,132
TS3211;Sidi A•ch;TS321;Gafsa;TS32;Sud-ouest;TS3;Sud;0;8297;0;2106;440;758;8381;702,1;0,146
TS3212;El Ksar;TS321;Gafsa;TS32;Sud-ouest;TS3;Sud;0;32186;29617;7128;1822;958;35203;332,8;0,25
TS3213;Gafsa Sud;TS321;Gafsa;TS32;Sud-ouest;TS3;Sud;0;90742;84676;21539;6553;1412;103697;426,1;0,369
TS3214;Oum El Araies;TS321;Gafsa;TS32;Sud-ouest;TS3;Sud;0;31733;24487;7298;617;2179;31206;995,7;0,143
TS3215;Redeyef;TS321;Gafsa;TS32;Sud-ouest;TS3;Sud;0;27940;26143;5913;703;1924;27174;480,7;0,194
TS3216;Metlaoui;TS321;Gafsa;TS32;Sud-ouest;TS3;Sud;0;38938;37099;8805;1335;2236;37894;1113,4;0,206
TS3217;Mdhila;TS321;Gafsa;TS32;Sud-ouest;TS3;Sud;0;14841;12383;3078;321;1138;13802;680,4;0,118
TS3218;EL Guetar;TS321;Gafsa;TS32;Sud-ouest;TS3;Sud;0;19942;13554;4549;819;1022;18658;910;0,144
TS3219;Belkhir;TS321;Gafsa;TS32;Sud-ouest;TS3;Sud;0;15159;0;3068;333;855;14242;839,5;0,073
TS321A;Sned;TS321;Gafsa;TS32;Sud-ouest;TS3;Sud;0;34524;8931;7139;710;1515;36315;827,1;0,104
TS3220;Tozeur;TS322;Tozeur;TS32;Sud-ouest;TS3;Sud;1;39862;32400;9524;2040;2949;42560;840;0,335
TS3221;Degach;TS322;Tozeur;TS32;Sud-ouest;TS3;Sud;0;26596;13685;6140;1055;905;27401;998;0,2
TS3222;Tameghza;TS322;Tozeur;TS32;Sud-ouest;TS3;Sud;0;6362;2169;1474;318;223;6947;854,9;0,112
TS3223;Nefta;TS322;Tozeur;TS32;Sud-ouest;TS3;Sud;0;20544;20308;4989;1036;1107;21375;1500;0,269
TS3224;Hazoua;TS322;Tozeur;TS32;Sud-ouest;TS3;Sud;0;4162;0;699;326;177;4624;1400;0,18
TS3230;Kebili Sud;TS323;Kebili;TS32;Sud-ouest;TS3;Sud;1;28040;12780;5854;1355;3829;29057;865,1;0,294
TS3231;Kebili Nord;TS323;Kebili;TS32;Sud-ouest;TS3;Sud;0;29429;12041;6929;1951;1071;30300;1024;0,311
TS3232;Souk El Ahed;TS323;Kebili;TS32;Sud-ouest;TS3;Sud;0;26732;18285;5933;493;835;26320;2682,7;0,197
TS3233;Douz Nord;TS323;Kebili;TS32;Sud-ouest;TS3;Sud;0;25534;25237;5007;1142;1376;26888;4105,7;0,26
TS3234;Douz Sud;TS323;Kebili;TS32;Sud-ouest;TS3;Sud;0;17187;8860;3053;709;569;18453;4105,7;0,215
TS3235;Faouar;TS323;Kebili;TS32;Sud-ouest;TS3;Sud;0;16296;0;3528;643;329;18998;9671,3;0,178
